OrderID,OrderDate,Region,Country,CustomerID,Segment,ProductCategory,Product,Quantity,UnitPrice,Sales,Cost,Profit
ORD000048,2022-05-30,North America,USA,CUST4185,Home Office,Electronics,Monitor,15,1039.03,15585.45,11228.04,4357.41
ORD000049,2022-10-30,South America,Argentina,CUST2746,Corporate,Furniture,Chair,1,2232.19,2232.19,1788.33,443.86
ORD000050,2022-04-13,Europe,Germany,CUST8478,Consumer,Office Supplies,Paper,18,626.75,11281.5,8990.43,2291.07
ORD000051,2024-06-25,South America,Chile,CUST7991,Home Office,Office Supplies,Stapler,20,2038.44,40768.8,33112.71,7656.09
ORD000052,2024-07-10,South America,Brazil,CUST5543,Home Office,Office Supplies,Paper,9,1880.68,16926.12,13438.53,3487.59
ORD000053,2024-06-19,South America,Chile,CUST6502,Corporate,Electronics,Headphones,3,1785.29,5355.87,3117.51,2238.36
ORD000054,2023-04-19,Australia,Australia,CUST2052,Corporate,Electronics,Smartphone,13,1736.4,22573.2,16867.75,5705.45
ORD000055,2024-05-01,South America,Argentina,CUST1320,Home Office,Office Supplies,Paper,2,521.05,1042.1,674.29,367.81
ORD000056,2023-09-04,South America,Argentina,CUST7865,Home Office,Electronics,Headphones,13,2134.35,27746.55,23132.32,4614.23
ORD000057,2023-07-13,Australia,Australia,CUST7624,Home Office,Furniture,Chair,14,1216.68,17033.52,10835.02,6198.5
ORD000058,2024-03-17,Europe,Spain,CUST8022,Consumer,Electronics,Laptop,19,1413.16,26850.04,13679.71,13170.33
ORD000059,2024-02-16,South America,Brazil,CUST7211,Corporate,Electronics,Headphones,11,533.09,5863.99,3602.81,2261.18
ORD000060,2022-02-09,South America,Argentina,CUST4673,Home Office,Electronics,Monitor,18,134.95,2429.1,2023.86,405.24
ORD000061,2023-05-22,North America,Mexico,CUST4908,Consumer,Electronics,Laptop,7,2098.88,14692.16,10541.15,4151.01
ORD000062,2024-08-10,South America,Chile,CUST2876,Consumer,Electronics,Smartphone,9,1918.41,17265.69,9646.79,7618.9
ORD000063,2023-10-01,Asia,India,CUST7498,Home Office,Office Supplies,Pen,19,1694.98,32204.62,26902.47,5302.15
ORD000064,2022-07-28,Europe,UK,CUST2983,Home Office,Office Supplies,Notebook,10,2126.48,21264.8,15101.07,6163.73
ORD000065,2024-01-29,North America,Canada,CUST7882,Corporate,Office Supplies,Paper,3,1267.37,3802.11,2355.14,1446.97
ORD000066,2022-11-10,North America,Canada,CUST5425,Home Office,Furniture,Table,14,444.46,6222.44,4247.51,1974.93
ORD000067,2023-07-04,Australia,Australia,CUST2419,Corporate,Furniture,Table,11,2130.02,23430.22,18527.58,4902.64
ORD000068,2023-11-20,South America,Brazil,CUST8988,Consumer,Furniture,Table,1,1238.29,1238.29,760.01,478.28
ORD000069,2023-07-20,Asia,Japan,CUST2402,Consumer,Furniture,Cabinet,18,30.33,545.94,454.12,91.82
ORD000070,2024-09-02,South America,Argentina,CUST5820,Consumer,Office Supplies,Notebook,16,1123.2,17971.2,9094.06,8877.14
ORD000071,2024-01-26,South America,Chile,CUST6419,Corporate,Electronics,Headphones,16,1385.92,22174.72,13755.31,8419.41
ORD000072,2023-04-18,South America,Argentina,CUST9779,Home Office,Furniture,Cabinet,4,1804.6,7218.4,4406.41,2811.99
ORD000073,2023-07-21,Europe,Germany,CUST5636,Consumer,Electronics,Monitor,19,2441.63,46390.97,31713.93,14677.04
ORD000074,2023-01-03,Europe,France,CUST5494,Consumer,Electronics,Headphones,10,40.3,403.0,276.84,126.16
ORD000075,2024-10-02,North America,Mexico,CUST8690,Corporate,Furniture,Chair,4,2182.44,8729.76,6118.89,2610.87
ORD000076,2023-06-02,South America,Argentina,CUST9056,Consumer,Electronics,Laptop,16,289.65,4634.4,2423.19,2211.21
ORD000077,2023-09-15,Australia,Australia,CUST7818,Home Office,Electronics,Smartphone,3,2484.83,7454.49,4036.29,3418.2
ORD000078,2024-07-11,Australia,Australia,CUST8025,Corporate,Office Supplies,Paper,15,746.9,11203.5,7909.49,3294.01
ORD000079,2023-03-02,Australia,Australia,CUST4929,Consumer,Office Supplies,Pen,7,665.29,4657.03,2460.85,2196.18
ORD000080,2024-04-16,Australia,Australia,CUST1534,Consumer,Electronics,Laptop,15,1724.98,25874.7,17192.95,8681.75
ORD000081,2022-05-26,Asia,Japan,CUST4241,Corporate,Office Supplies,Paper,8,2310.16,18481.28,14336.66,4144.62
ORD000082,2023-06-29,North America,Mexico,CUST6039,Home Office,Electronics,Smartphone,5,183.17,915.85,511.11,404.74
ORD000083,2024-08-17,Australia,Australia,CUST9199,Home Office,Furniture,Desk,10,1750.84,17508.4,14530.86,2977.54
ORD000084,2024-06-03,South America,Argentina,CUST4750,Home Office,Electronics,Laptop,11,1511.27,16623.97,8462.48,8161.49
ORD000085,2022-03-24,Australia,Australia,CUST5557,Consumer,Office Supplies,Stapler,6,1178.9,7073.4,5149.64,1923.76
ORD000086,2022-07-06,Australia,Australia,CUST2713,Consumer,Office Supplies,Paper,16,873.16,13970.56,8615.06,5355.5
ORD000087,2023-08-14,Asia,Singapore,CUST8451,Consumer,Office Supplies,Paper,13,2034.85,26453.05,18319.63,8133.42
ORD000088,2024-04-07,Asia,Japan,CUST9889,Corporate,Furniture,Desk,17,2063.19,35074.23,17551.25,17522.98
ORD000089,2024-10-17,South America,Brazil,CUST9998,Consumer,Electronics,Headphones,15,1901.18,28517.7,16290.6,12227.1
ORD000090,2022-09-06,Asia,Singapore,CUST4920,Home Office,Office Supplies,Paper,1,2433.0,2433.0,1734.98,698.02
ORD000091,2024-04-15,Europe,France,CUST2858,Corporate,Office Supplies,Pen,3,565.63,1696.89,1348.17,348.72
ORD000092,2023-08-21,North America,Mexico,CUST8905,Corporate,Electronics,Monitor,17,1765.0,30005.0,19365.88,10639.12
ORD000093,2024-02-25,Europe,Spain,CUST3236,Consumer,Office Supplies,Notebook,7,2305.06,16135.42,10937.95,5197.47
ORD000094,2022-01-06,Asia,Singapore,CUST9022,Consumer,Furniture,Cabinet,10,1816.5,18165.0,14406.96,3758.04
ORD000095,2023-11-12,South America,Chile,CUST6272,Consumer,Furniture,Cabinet,18,1908.37,34350.66,21710.43,12640.23
ORD000096,2022-03-31,Europe,Spain,CUST7246,Corporate,Electronics,Monitor,11,1863.04,20493.44,15305.11,5188.33
ORD000097,2024-10-25,Europe,Spain,CUST8213,Consumer,Electronics,Smartphone,19,833.33,15833.27,8472.82,7360.45
ORD000098,2024-04-19,Australia,Australia,CUST5342,Corporate,Electronics,Smartphone,5,191.7,958.5,741.43,217.07
ORD000099,2023-11-04,Australia,Australia,CUST8994,Home Office,Office Supplies,Pen,18,953.12,17156.16,10479.52,6676.64
ORD000100,2023-08-12,North America,Mexico,CUST2612,Home Office,Electronics,Smartphone,8,1868.18,14945.44,9742.78,5202.66
ORD000101,2022-03-01,North America,Canada,CUST6873,Corporate,Electronics,Headphones,2,814.31,1628.62,846.3,782.32
ORD000102,2023-01-04,South America,Brazil,CUST7267,Home Office,Electronics,Monitor,6,441.8,2650.8,1890.87,759.93
ORD000103,2023-04-21,Europe,Spain,CUST1153,Corporate,Office Supplies,Notebook,15,1596.57,23948.55,15826.39,8122.16
ORD000104,2023-12-09,Asia,China,CUST5097,Corporate,Electronics,Monitor,19,751.39,14276.41,11945.22,2331.19
ORD000105,2022-08-07,Asia,China,CUST5847,Home Office,Furniture,Table,8,956.5,7652.0,4787.36,2864.64
ORD000106,2023-07-17,Asia,India,CUST1803,Home Office,Office Supplies,Paper,1,1416.99,1416.99,1048.61,368.38
ORD000107,2023-03-25,South America,Argentina,CUST3240,Home Office,Electronics,Headphones,7,1554.12,10878.84,8020.07,2858.77
ORD000108,2023-09-25,North America,Mexico,CUST3153,Consumer,Office Supplies,Pen,15,88.24,1323.6,830.83,492.77
ORD000109,2022-12-26,Asia,Japan,CUST6994,Home Office,Office Supplies,Paper,7,334.74,2343.18,1613.97,729.21
ORD000110,2024-09-13,Australia,Australia,CUST2886,Corporate,Electronics,Headphones,10,1867.67,18676.7,11552.48,7124.22
ORD000111,2024-01-20,North America,USA,CUST9791,Consumer,Electronics,Monitor,3,1977.75,5933.25,2995.53,2937.72
ORD000112,2024-02-20,South America,Argentina,CUST1410,Home Office,Office Supplies,Stapler,12,275.32,3303.84,1922.3,1381.54
ORD000113,2022-05-10,Australia,Australia,CUST7689,Consumer,Office Supplies,Notebook,15,2273.92,34108.8,20661.97,13446.83
ORD000114,2024-10-05,Europe,UK,CUST3222,Corporate,Electronics,Headphones,4,247.49,989.96,802.4,187.56
ORD000115,2022-11-13,South America,Argentina,CUST7686,Corporate,Office Supplies,Paper,14,1639.03,22946.42,18168.81,4777.61
ORD000116,2024-06-27,North America,Mexico,CUST2627,Home Office,Furniture,Chair,15,2376.64,35649.6,28498.56,7151.04
ORD000117,2023-07-20,Asia,Japan,CUST8450,Consumer,Electronics,Monitor,7,2420.68,16944.76,14100.65,2844.11
ORD000118,2023-05-14,Europe,UK,CUST4394,Home Office,Electronics,Headphones,5,1968.51,9842.55,5628.19,4214.36
ORD000119,2022-01-06,Europe,Germany,CUST3129,Home Office,Furniture,Chair,9,2146.72,19320.48,10638.64,8681.84
ORD000120,2022-09-27,Asia,China,CUST6304,Consumer,Electronics,Laptop,1,898.81,898.81,697.43,201.38
ORD000121,2024-05-12,Europe,France,CUST8344,Corporate,Electronics,Smartphone,17,288.56,4905.52,2561.88,2343.64
ORD000122,2022-03-30,Australia,Australia,CUST1510,Consumer,Furniture,Chair,17,757.57,12878.69,9339.23,3539.46
ORD000123,2024-10-01,South America,Argentina,CUST3430,Consumer,Furniture,Desk,15,188.36,2825.4,1492.59,1332.81
ORD000124,2024-02-20,Europe,France,CUST8048,Consumer,Office Supplies,Stapler,20,1328.74,26574.8,17507.49,9067.31
ORD000125,2024-05-30,North America,Mexico,CUST8430,Corporate,Office Supplies,Notebook,15,2220.79,33311.85,21480.64,11831.21
ORD000126,2024-05-24,South America,Chile,CUST3500,Home Office,Electronics,Headphones,11,1664.44,18308.84,11552.98,6755.86
ORD000127,2022-07-10,South America,Brazil,CUST3131,Home Office,Electronics,Laptop,14,245.93,3443.02,2611.8,831.22
ORD000128,2022-09-08,North America,Mexico,CUST7929,Home Office,Office Supplies,Stapler,14,887.23,12421.22,9103.13,3318.09
ORD000129,2023-12-22,North America,Canada,CUST8900,Consumer,Office Supplies,Stapler,4,1446.91,5787.64,3324.76,2462.88
ORD000130,2022-08-24,North America,Canada,CUST1430,Home Office,Office Supplies,Stapler,9,1437.38,12936.42,10123.1,2813.32
ORD000131,2023-09-25,Asia,India,CUST3347,Home Office,Electronics,Headphones,11,880.8,9688.8,5459.56,4229.24
ORD000132,2022-07-07,South America,Brazil,CUST6585,Consumer,Electronics,Laptop,17,541.76,9209.92,5958.28,3251.64
ORD000133,2022-06-23,Asia,Japan,CUST1815,Home Office,Office Supplies,Stapler,2,393.17,786.34,600.81,185.53
ORD000134,2024-09-21,North America,Canada,CUST9394,Consumer,Furniture,Table,20,1107.9,22158.0,13197.49,8960.51
ORD000135,2024-09-23,Asia,Singapore,CUST7475,Home Office,Electronics,Headphones,17,1669.5,28381.5,14641.9,13739.6
ORD000136,2023-03-09,North America,USA,CUST2965,Consumer,Electronics,Headphones,5,1911.58,9557.9,5747.23,3810.67
ORD000137,2022-09-22,South America,Chile,CUST6802,Consumer,Furniture,Chair,13,1333.79,17339.27,10066.12,7273.15
ORD000138,2022-02-08,South America,Chile,CUST8033,Home Office,Electronics,Monitor,15,2303.3,34549.5,27699.66,6849.84
ORD000139,2023-08-16,South America,Chile,CUST3815,Home Office,Office Supplies,Paper,4,1015.56,4062.24,3404.85,657.39
ORD000140,2024-06-13,South America,Chile,CUST9584,Consumer,Furniture,Desk,4,612.07,2448.28,1728.74,719.54
ORD000141,2023-03-30,South America,Argentina,CUST2868,Home Office,Office Supplies,Stapler,11,1948.9,21437.9,11292.04,10145.86
ORD000142,2022-10-30,Australia,Australia,CUST3842,Home Office,Furniture,Cabinet,8,261.5,2092.0,1233.42,858.58
ORD000143,2024-08-08,Europe,UK,CUST6295,Home Office,Electronics,Monitor,19,1900.89,36116.91,23733.03,12383.88
ORD000144,2024-08-18,Asia,China,CUST1920,Corporate,Furniture,Desk,15,1580.31,23704.65,18459.18,5245.47
ORD000145,2024-07-14,Australia,Australia,CUST2257,Home Office,Furniture,Table,2,146.94,293.88,232.49,61.39
ORD000146,2024-08-05,North America,Mexico,CUST1672,Corporate,Office Supplies,Paper,19,1388.02,26372.38,20494.93,5877.45
ORD000147,2024-10-23,Australia,Australia,CUST6626,Home Office,Furniture,Table,5,2394.52,11972.6,7874.18,4098.42
ORD000148,2022-03-22,North America,Mexico,CUST9586,Home Office,Office Supplies,Notebook,8,1770.52,14164.16,11994.85,2169.31
ORD000149,2023-08-03,Australia,Australia,CUST1857,Home Office,Furniture,Cabinet,13,1024.88,13323.44,8239.6,5083.84
ORD000150,2024-03-02,Asia,India,CUST3463,Corporate,Furniture,Desk,10,633.73,6337.3,5057.47,1279.83
ORD000151,2023-12-18,North America,Mexico,CUST7421,Consumer,Office Supplies,Notebook,10,2419.4,24194.0,18011.66,6182.34
ORD000152,2023-11-04,Australia,Australia,CUST9624,Consumer,Furniture,Table,5,1676.94,8384.7,6625.05,1759.65
ORD000153,2024-01-13,South America,Chile,CUST8967,Consumer,Furniture,Desk,10,454.76,4547.6,2614.72,1932.88
ORD000154,2023-08-29,Europe,Germany,CUST9626,Consumer,Electronics,Laptop,4,1271.69,5086.76,3504.37,1582.39
ORD000155,2022-11-12,Asia,China,CUST3712,Home Office,Office Supplies,Paper,6,456.21,2737.26,2032.4,704.86
ORD000156,2023-05-02,South America,Brazil,CUST8355,Consumer,Furniture,Cabinet,15,1528.44,22926.6,17500.72,5425.88
ORD000157,2023-02-02,Australia,Australia,CUST8218,Corporate,Furniture,Table,12,1697.38,20368.56,14250.8,6117.76
ORD000158,2022-11-28,Asia,Singapore,CUST5096,Consumer,Office Supplies,Paper,7,2004.14,14028.98,7694.05,6334.93
ORD000159,2024-11-22,South America,Argentina,CUST5469,Corporate,Office Supplies,Pen,4,716.23,2864.92,2197.65,667.27
ORD000160,2023-03-31,Australia,Australia,CUST7797,Consumer,Furniture,Desk,15,2212.15,33182.25,27397.43,5784.82
ORD000161,2024-03-01,South America,Chile,CUST2623,Home Office,Furniture,Chair,3,940.41,2821.23,1438.45,1382.78
ORD000162,2023-08-11,Asia,China,CUST8685,Corporate,Electronics,Laptop,16,1741.7,27867.2,15287.32,12579.88
ORD000163,2023-06-09,Australia,Australia,CUST9647,Corporate,Electronics,Laptop,7,2088.23,14617.61,10116.58,4501.03
ORD000164,2022-09-07,North America,Canada,CUST8489,Consumer,Electronics,Headphones,2,599.91,1199.82,868.23,331.59
ORD000165,2024-11-21,North America,Canada,CUST8032,Consumer,Office Supplies,Pen,19,608.64,11564.16,6363.2,5200.96
ORD000166,2023-01-19,Australia,Australia,CUST9618,Home Office,Electronics,Monitor,3,1311.09,3933.27,2463.06,1470.21
ORD000167,2022-03-31,Australia,Australia,CUST1266,Corporate,Furniture,Table,13,2452.69,31884.97,18773.16,13111.81
ORD000168,2023-11-12,North America,Canada,CUST3868,Home Office,Electronics,Laptop,5,115.62,578.1,399.53,178.57
ORD000169,2022-10-04,South America,Chile,CUST1605,Corporate,Furniture,Chair,3,1791.53,5374.59,4462.32,912.27
ORD000170,2023-10-09,Europe,UK,CUST9897,Corporate,Electronics,Laptop,10,1290.88,12908.8,10923.34,1985.46
ORD000171,2023-08-09,Asia,India,CUST6438,Corporate,Office Supplies,Notebook,12,2156.04,25872.48,13369.12,12503.36
ORD000172,2024-06-19,North America,Canada,CUST9151,Corporate,Furniture,Table,13,850.9,11061.7,6254.13,4807.57
ORD000173,2022-06-11,Australia,Australia,CUST9937,Corporate,Electronics,Monitor,14,1508.12,21113.68,16633.77,4479.91
ORD000174,2023-08-29,Asia,India,CUST3730,Home Office,Electronics,Headphones,10,1117.56,11175.6,8394.91,2780.69
ORD000175,2023-12-24,South America,Argentina,CUST1939,Consumer,Furniture,Desk,20,2495.39,49907.8,29749.76,20158.04
ORD000176,2022-03-05,South America,Argentina,CUST8179,Consumer,Office Supplies,Notebook,5,2122.43,10612.15,7824.67,2787.48
ORD000177,2024-01-12,Europe,UK,CUST3513,Home Office,Electronics,Headphones,13,2373.92,30860.96,15780.28,15080.68
ORD000178,2022-06-07,South America,Argentina,CUST6150,Home Office,Furniture,Table,19,348.55,6622.45,4161.76,2460.69
ORD000179,2023-01-17,Asia,China,CUST2929,Corporate,Electronics,Laptop,16,1296.77,20748.32,17008.23,3740.09
ORD000180,2024-10-02,Asia,Singapore,CUST8406,Consumer,Electronics,Headphones,7,310.98,2176.86,1738.2,438.66
ORD000181,2023-12-13,South America,Brazil,CUST5914,Consumer,Office Supplies,Stapler,3,1377.24,4131.72,2485.75,1645.97
ORD000182,2022-09-06,Europe,France,CUST9094,Consumer,Office Supplies,Notebook,7,1981.2,13868.4,8083.3,5785.1
ORD000183,2022-06-26,Asia,Japan,CUST8842,Home Office,Furniture,Chair,3,776.68,2330.04,1980.2,349.84
ORD000184,2022-09-14,South America,Argentina,CUST9476,Corporate,Office Supplies,Pen,11,1607.63,17683.93,11627.03,6056.9
ORD000185,2024-10-26,Europe,Germany,CUST5982,Consumer,Electronics,Monitor,2,2079.32,4158.64,2833.43,1325.21
ORD000186,2023-12-10,Europe,France,CUST5105,Consumer,Office Supplies,Notebook,17,2237.84,38043.28,30285.37,7757.91
ORD000187,2024-12-28,Australia,Australia,CUST3526,Consumer,Electronics,Headphones,3,1258.92,3776.76,2111.29,1665.47
ORD000188,2022-02-28,Australia,Australia,CUST5336,Home Office,Office Supplies,Pen,3,118.43,355.29,257.41,97.88
ORD000189,2024-10-16,Europe,Spain,CUST8912,Consumer,Office Supplies,Pen,18,727.73,13099.14,10935.52,2163.62
ORD000190,2022-05-03,South America,Argentina,CUST4342,Corporate,Furniture,Desk,6,1101.82,6610.92,4425.93,2184.99
ORD000191,2023-12-09,Australia,Australia,CUST2739,Corporate,Furniture,Cabinet,13,331.26,4306.38,2711.68,1594.7
ORD000192,2024-07-09,Europe,Spain,CUST7293,Home Office,Electronics,Headphones,8,356.49,2851.92,1476.47,1375.45
ORD000193,2023-10-03,South America,Brazil,CUST9433,Corporate,Electronics,Headphones,7,1908.99,13362.93,9011.87,4351.06
ORD000194,2022-07-04,South America,Argentina,CUST4524,Home Office,Furniture,Desk,13,1266.08,16459.04,13798.28,2660.76
ORD000195,2024-10-10,Asia,India,CUST8710,Corporate,Electronics,Headphones,20,2206.44,44128.8,32169.5,11959.3
ORD000196,2022-10-02,Australia,Australia,CUST6995,Consumer,Electronics,Monitor,9,1820.13,16381.17,12570.09,3811.08
ORD000197,2024-01-13,South America,Brazil,CUST8378,Home Office,Office Supplies,Notebook,18,725.06,13051.08,8290.33,4760.75
ORD000198,2024-03-17,Asia,India,CUST6990,Consumer,Electronics,Laptop,12,1988.27,23859.24,14761.23,9098.01
ORD000199,2022-04-03,Europe,Spain,CUST8761,Home Office,Office Supplies,Pen,2,346.91,693.82,427.78,266.04
ORD000200,2023-11-03,South America,Brazil,CUST5902,Home Office,Office Supplies,Notebook,20,799.73,15994.6,10197.1,5797.5
ORD000201,2024-08-30,Asia,Singapore,CUST7824,Home Office,Office Supplies,Stapler,1,924.05,924.05,679.95,244.1
ORD000202,2023-06-28,Asia,India,CUST8871,Consumer,Office Supplies,Paper,19,1446.2,27477.8,20676.77,6801.03
ORD000203,2022-03-06,Australia,Australia,CUST1310,Corporate,Electronics,Smartphone,19,2370.77,45044.63,24254.89,20789.74
ORD000204,2023-02-22,Asia,Singapore,CUST8726,Home Office,Electronics,Monitor,14,1257.04,17598.56,12565.68,5032.88
ORD000205,2023-10-28,North America,Mexico,CUST3837,Corporate,Electronics,Smartphone,16,1316.07,21057.12,12840.91,8216.21
ORD000206,2023-06-26,Australia,Australia,CUST5571,Home Office,Office Supplies,Stapler,20,1213.03,24260.6,20259.25,4001.35
ORD000207,2023-03-01,Asia,China,CUST5480,Corporate,Furniture,Cabinet,16,796.02,12736.32,7923.02,4813.3
ORD000208,2024-03-19,North America,Mexico,CUST5758,Consumer,Office Supplies,Paper,12,2386.75,28641.0,22386.25,6254.75
ORD000209,2023-06-10,Asia,India,CUST5442,Home Office,Furniture,Table,16,538.9,8622.4,6809.83,1812.57
ORD000210,2023-05-12,Asia,China,CUST4814,Consumer,Electronics,Smartphone,2,1676.24,3352.48,2299.35,1053.13
ORD000211,2022-07-25,North America,Canada,CUST3587,Corporate,Furniture,Table,5,17.93,89.65,62.09,27.56
ORD000212,2023-08-12,South America,Argentina,CUST2465,Home Office,Office Supplies,Notebook,11,717.11,7888.21,4107.45,3780.76
ORD000213,2022-12-25,Australia,Australia,CUST1595,Corporate,Office Supplies,Pen,14,2206.2,30886.8,17343.74,13543.06
ORD000214,2022-03-18,South America,Brazil,CUST6489,Corporate,Office Supplies,Stapler,1,749.49,749.49,532.87,216.62
ORD000215,2022-10-02,South America,Chile,CUST2845,Corporate,Office Supplies,Paper,17,1172.71,19936.07,11313.4,8622.67
ORD000216,2023-01-17,Europe,Spain,CUST4164,Consumer,Office Supplies,Stapler,1,1842.86,1842.86,1431.48,411.38
ORD000217,2022-06-27,Australia,Australia,CUST3303,Corporate,Furniture,Cabinet,13,1674.79,21772.27,12294.22,9478.05
ORD000218,2024-02-25,Asia,China,CUST6400,Corporate,Electronics,Headphones,8,1119.61,8956.88,5315.44,3641.44
ORD000219,2023-04-29,Australia,Australia,CUST3616,Corporate,Furniture,Cabinet,2,1671.13,3342.26,2215.54,1126.72
